Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Lengths,Bwd Packet Lengths,Flow Bytes/s,Flow Packets/s,Flow IATs,Last Seen,Fwd IATs,Bwd IATs,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Header Length,Bwd Header Length
172.16.72.189-224.0.0.251-0-0-UDP,172.16.72.189,0,224.0.0.251,0,UDP,1747577523.6041124,8433550.596237183,7,0,1698,0,"[322, 93, 93, 93, 387, 323, 387]",[],1698,7,"[0.0, 0.001394033432006836, 0.307450532913208, 0.3134608268737793, 0.017493247985839844, 0.0025708675384521484, 7.7911810874938965]",1747577532.037663,"[0.0, 0.001394033432006836, 0.307450532913208, 0.3134608268737793, 0.017493247985839844, 0.0025708675384521484, 7.7911810874938965]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.83.50-224.0.0.251-0-0-UDP,172.16.83.50,0,224.0.0.251,0,UDP,1747577524.2218478,7252412.557601929,8,0,592,0,"[74, 74, 74, 74, 74, 74, 74, 74]",[],592,8,"[0.0, 0.0011723041534423828, 1.5321323871612549, 0.11229372024536133, 3.246521234512329, 0.1119387149810791, 2.1329903602600098, 0.11536383628845215]",1747577531.4742603,"[0.0, 0.0011723041534423828, 1.5321323871612549, 0.11229372024536133, 3.246521234512329, 0.1119387149810791, 2.1329903602600098, 0.11536383628845215]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.83.50-224.0.0.252-0-0-UDP,172.16.83.50,0,224.0.0.252,0,UDP,1747577524.224169,6456844.5682525635,8,0,544,0,"[68, 68, 68, 68, 68, 68, 68, 68]",[],544,8,"[0.0, 0.001111745834350586, 0.3497946262359619, 0.0008106231689453125, 4.761968612670898, 0.11068177223205566, 1.1208581924438477, 0.1116189956665039]",1747577530.6810136,"[0.0, 0.001111745834350586, 0.3497946262359619, 0.0008106231689453125, 4.761968612670898, 0.11068177223205566, 1.1208581924438477, 0.1116189956665039]",[],0,0,0,0,0,0,0,0,0,0,0,0
142.250.207.234-172.16.73.109-0-0-UDP,142.250.207.234,0,172.16.73.109,0,UDP,1747577524.5163863,6728965.997695923,9,0,617,0,"[81, 67, 67, 67, 67, 67, 67, 67, 67]",[],617,9,"[0.0, 0.24134302139282227, 0.771620512008667, 0.561852216720581, 1.1206095218658447, 0.22501301765441895, 0.6703569889068604, 1.6769604682922363, 1.4612102508544922]",1747577531.2453523,"[0.0, 0.24134302139282227, 0.771620512008667, 0.561852216720581, 1.1206095218658447, 0.22501301765441895, 0.6703569889068604, 1.6769604682922363, 1.4612102508544922]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.73.109-142.250.207.234-0-0-UDP,172.16.73.109,0,142.250.207.234,0,UDP,1747577524.5259387,6604523.420333862,9,0,643,0,"[75, 71, 71, 71, 71, 71, 71, 71, 71]",[],643,9,"[0.0, 0.20798897743225098, 0.6832783222198486, 0.5618832111358643, 0.562248706817627, 0.7831954956054688, 0.6711363792419434, 0.559767484664917, 2.5750248432159424]",1747577531.1304622,"[0.0, 0.20798897743225098, 0.6832783222198486, 0.5618832111358643, 0.562248706817627, 0.7831954956054688, 0.6711363792419434, 0.559767484664917, 2.5750248432159424]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.71.168-224.0.0.251-0-0-UDP,172.16.71.168,0,224.0.0.251,0,UDP,1747577527.885311,0.0,1,0,136,0,[136],[],136,1,[0.0],1747577527.885311,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.72.250-172.16.255.255-0-0-UDP,172.16.72.250,0,172.16.255.255,0,UDP,1747577528.2185187,0.0,1,0,594,0,[594],[],594,1,[0.0],1747577528.2185187,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.111-255.255.255.255-0-0-UDP,172.16.65.111,0,255.255.255.255,0,UDP,1747577528.4433267,0.0,1,0,864,0,[864],[],864,1,[0.0],1747577528.4433267,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.71.243-172.16.255.255-0-0-UDP,172.16.71.243,0,172.16.255.255,0,UDP,1747577528.6681406,0.0,1,0,594,0,[594],[],594,1,[0.0],1747577528.6681406,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.71.210-172.16.255.255-0-0-UDP,172.16.71.210,0,172.16.255.255,0,UDP,1747577528.7808568,0.0,1,0,594,0,[594],[],594,1,[0.0],1747577528.7808568,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.121-255.255.255.255-0-0-UDP,172.16.65.121,0,255.255.255.255,0,UDP,1747577528.8918056,0.0,1,0,863,0,[863],[],863,1,[0.0],1747577528.8918056,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.73.109-172.16.76.190-0-0-UDP,172.16.73.109,0,172.16.76.190,0,UDP,1747577529.6741848,0.0,1,0,409,0,[409],[],409,1,[0.0],1747577529.6741848,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.119-255.255.255.255-0-0-UDP,172.16.65.119,0,255.255.255.255,0,UDP,1747577530.3453634,0.0,1,0,863,0,[863],[],863,1,[0.0],1747577530.3453634,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.6-224.0.0.251-0-0-UDP,172.16.65.6,0,224.0.0.251,0,UDP,1747577530.457601,0.0,1,0,361,0,[361],[],361,1,[0.0],1747577530.457601,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.113-255.255.255.255-0-0-UDP,172.16.65.113,0,255.255.255.255,0,UDP,1747577531.0183995,0.0,1,0,864,0,[864],[],864,1,[0.0],1747577531.0183995,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.71.25-224.0.0.251-0-0-UDP,172.16.71.25,0,224.0.0.251,0,UDP,1747577531.7000587,0.0,1,0,255,0,[255],[],255,1,[0.0],1747577531.7000587,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.73.109-224.0.0.251-0-0-UDP,172.16.73.109,0,224.0.0.251,0,UDP,1747577531.8131804,0.0,1,0,409,0,[409],[],409,1,[0.0],1747577531.8131804,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.77.23-224.0.0.251-0-0-UDP,172.16.77.23,0,224.0.0.251,0,UDP,1747577531.9241788,0.0,1,0,321,0,[321],[],321,1,[0.0],1747577531.9241788,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.72.176-224.0.0.251-0-0-UDP,172.16.72.176,0,224.0.0.251,0,UDP,1747577523.107555,13796365.737915039,16,0,1312,0,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",[],1312,16,"[0.0, 0.0006585121154785156, 0.003778219223022461, 0.0005807876586914062, 3.763850450515747, 0.22307467460632324, 0.44889187812805176, 0.11124849319458008, 2.2384512424468994, 0.10970544815063477, 0.11286735534667969, 0.11240291595458984, 6.333007574081421, 0.11386322975158691, 0.11164188385009766, 0.11234307289123535]",1747577536.9039207,"[0.0, 0.0006585121154785156, 0.003778219223022461, 0.0005807876586914062, 3.763850450515747, 0.22307467460632324, 0.44889187812805176, 0.11124849319458008, 2.2384512424468994, 0.10970544815063477, 0.11286735534667969, 0.11240291595458984, 6.333007574081421, 0.11386322975158691, 0.11164188385009766, 0.11234307289123535]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.83.50-172.16.255.255-0-0-UDP,172.16.83.50,0,172.16.255.255,0,UDP,1747577524.2197511,11450816.869735718,6,0,552,0,"[92, 92, 92, 92, 92, 92]",[],552,6,"[0.0, 1.0864660739898682, 1.6809659004211426, 2.0153167247772217, 1.7910292148590088, 4.877038955688477]",1747577535.670568,"[0.0, 1.0864660739898682, 1.6809659004211426, 2.0153167247772217, 1.7910292148590088, 4.877038955688477]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.73.185-239.255.255.250-0-0-UDP,172.16.73.185,0,239.255.255.250,0,UDP,1747577527.771317,9356027.841567993,2,0,286,0,"[143, 143]",[],286,2,"[0.0, 9.356027841567993]",1747577537.1273448,"[0.0, 9.356027841567993]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.71.133-224.0.0.251-0-0-UDP,172.16.71.133,0,224.0.0.251,0,UDP,1747577528.3324916,7562297.344207764,3,0,309,0,"[103, 103, 103]",[],309,3,"[0.0, 2.573965311050415, 4.988332033157349]",1747577535.894789,"[0.0, 2.573965311050415, 4.988332033157349]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.76.190-224.0.0.251-0-0-UDP,172.16.76.190,0,224.0.0.251,0,UDP,1747577529.5599842,6895542.38319397,4,0,290,0,"[77, 77, 68, 68]",[],290,4,"[0.0, 2.0261621475219727, 2.6343610286712646, 2.2350192070007324]",1747577536.4555266,"[0.0, 2.0261621475219727, 2.6343610286712646, 2.2350192070007324]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.86.164-224.0.0.251-0-0-UDP,172.16.86.164,0,224.0.0.251,0,UDP,1747577532.1514874,0.0,1,0,299,0,[299],[],299,1,[0.0],1747577532.1514874,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.73.176-224.0.0.251-0-0-UDP,172.16.73.176,0,224.0.0.251,0,UDP,1747577532.2630887,0.0,1,0,373,0,[373],[],373,1,[0.0],1747577532.2630887,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.73.91-224.0.0.251-0-0-UDP,172.16.73.91,0,224.0.0.251,0,UDP,1747577532.3752503,0.0,1,0,363,0,[363],[],363,1,[0.0],1747577532.3752503,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.73.140-224.0.0.251-0-0-UDP,172.16.73.140,0,224.0.0.251,0,UDP,1747577532.489007,0.0,1,0,275,0,[275],[],275,1,[0.0],1747577532.489007,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.72.248-224.0.0.251-0-0-UDP,172.16.72.248,0,224.0.0.251,0,UDP,1747577532.6006155,0.0,1,0,365,0,[365],[],365,1,[0.0],1747577532.6006155,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.79.245-224.0.0.251-0-0-UDP,172.16.79.245,0,224.0.0.251,0,UDP,1747577532.713672,0.0,1,0,299,0,[299],[],299,1,[0.0],1747577532.713672,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.73.110-224.0.0.251-0-0-UDP,172.16.73.110,0,224.0.0.251,0,UDP,1747577532.8213878,0.0,1,0,387,0,[387],[],387,1,[0.0],1747577532.8213878,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.73.204-224.0.0.251-0-0-UDP,172.16.73.204,0,224.0.0.251,0,UDP,1747577532.9217496,0.0,1,0,363,0,[363],[],363,1,[0.0],1747577532.9217496,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.71.207-224.0.0.251-0-0-UDP,172.16.71.207,0,224.0.0.251,0,UDP,1747577533.033037,0.0,1,0,299,0,[299],[],299,1,[0.0],1747577533.033037,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
